City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
175,Kawalu,ID,-7.3817,108.2082,70.7,98,97,1.54,overcast clouds
176,Puri,IN,19.8,85.85,81.12,84,100,11.5,overcast clouds
177,Celestun,MX,20.8667,-90.4,84.52,73,33,15.1,scattered clouds
178,Cabedelo,BR,-6.9811,-34.8339,75.87,85,42,16.75,scattered clouds
179,Coquimbo,CL,-29.9533,-71.3436,58.73,77,0,8.05,clear sky
180,San Jose,US,37.3394,-121.895,99.84,38,20,11.5,few clouds
181,Saint-Augustin,CA,51.226,-58.6502,72.37,56,84,18.41,broken clouds
182,Fort Nelson,CA,58.8053,-122.7002,76.59,44,40,9.22,scattered clouds
183,Chateau-Gontier,FR,47.8333,-0.7,87.96,20,0,10.42,clear sky
184,Pattani,TH,6.75,100.4167,76.71,96,100,2.17,overcast clouds
185,Kimamba,TZ,-6.7833,37.1333,69.82,61,100,1.23,overcast clouds
186,Port Hedland,AU,-20.3167,118.5667,55.45,88,2,4.61,clear sky
187,Dudinka,RU,69.4058,86.1778,56.62,72,80,10.18,broken clouds
188,Am Timan,TD,11.0297,20.2827,73.54,87,100,1.01,moderate rain
189,Vitry-Le-Francois,FR,48.7333,4.5833,81.46,26,6,8.79,clear sky
190,Belmonte,BR,-15.8631,-38.8828,72.45,73,24,7.34,few clouds
191,Ternate,ID,0.8,127.4,77.94,79,99,3.91,overcast clouds
192,Tabas,IR,33.5959,56.9244,98.82,10,0,9.22,clear sky
193,Richards Bay,ZA,-28.783,32.0377,67.89,79,0,12.77,clear sky
194,Port Elizabeth,ZA,-33.918,25.5701,64.31,89,75,3.44,broken clouds
195,Paungde,MM,18.4833,95.5,77.54,92,100,4.74,light rain
196,Abalak,RU,58.1286,68.5944,56.84,76,53,5.23,broken clouds
197,Fortuna,US,40.5982,-124.1573,72.93,65,18,4.0,few clouds
198,Andapa,MG,-14.65,49.65,59.13,98,96,0.85,light rain
199,Saint-Francois,FR,46.4154,3.9054,76.68,56,0,0.0,clear sky
200,Pangnirtung,CA,66.1451,-65.7125,44.6,81,75,14.97,broken clouds
201,Brae,GB,60.3964,-1.353,56.12,82,93,6.85,overcast clouds
202,Pedasi,PA,7.5333,-80.0333,86.07,79,68,11.39,broken clouds
203,Labuhan,ID,-6.8844,112.2051,75.61,86,98,6.69,overcast clouds
204,Codrington,AU,-38.2667,141.9667,46.47,75,100,5.06,overcast clouds
205,Kirksville,US,40.1948,-92.5833,89.82,57,40,0.0,scattered clouds
206,Roma,US,43.2128,-75.4557,78.69,91,100,1.99,overcast clouds
207,Sungaipenuh,ID,-2.0833,101.3833,64.15,95,32,2.3,scattered clouds
208,Kodiak,US,57.79,-152.4072,63.91,55,100,17.27,overcast clouds
209,Bubaque,GW,11.2833,-15.8333,79.36,84,100,12.24,overcast clouds
210,Atambua,ID,-9.1061,124.8925,63.05,81,100,6.35,overcast clouds
211,Tuatapere,NZ,-46.1333,167.6833,44.94,89,100,1.36,overcast clouds
212,Sao Filipe,CV,14.8961,-24.4956,75.76,82,19,9.75,few clouds
213,Ahipara,NZ,-35.1667,173.1667,59.63,85,79,12.06,broken clouds
214,Hasaki,JP,35.7333,140.8333,81.0,83,100,14.61,overcast clouds
215,Samarai,PG,-10.6167,150.6667,79.45,83,23,8.43,few clouds
216,Yenagoa,NG,4.9247,6.2642,74.61,80,98,5.57,overcast clouds
217,Axim,GH,4.8699,-2.2405,74.95,78,96,8.68,overcast clouds
218,Yekimovichi,RU,54.1129,33.2965,51.64,92,32,6.2,scattered clouds
219,El Viejo,NI,12.6633,-87.1672,89.82,58,40,4.61,scattered clouds
220,Sistranda,NO,63.7256,8.834,53.56,87,100,16.75,overcast clouds
221,Esperance,AU,-33.8667,121.9,51.64,88,51,5.26,broken clouds
222,Lasa,IT,46.6166,10.7002,76.08,77,94,1.12,overcast clouds
223,Florence,IT,43.7667,11.25,89.28,37,0,4.61,clear sky
224,Giulianova,IT,42.7612,13.9537,76.75,43,0,4.92,clear sky
225,Nouadhibou,MR,20.931,-17.0347,71.58,83,18,12.66,sand
226,Luanda,AO,-8.8368,13.2343,69.8,94,75,8.05,broken clouds
227,Dustlik,UZ,40.5247,68.0358,77.23,32,0,5.32,clear sky
228,Manzanillo,CU,20.3433,-77.1167,94.3,43,23,6.73,few clouds
229,Bayanday,RU,53.0661,105.5139,55.74,99,95,4.56,light rain
230,Hobart,AU,-42.8794,147.3294,43.27,83,75,8.05,broken clouds
231,Kijang,KR,35.2442,129.2139,76.73,96,66,1.72,broken clouds
232,Dehloran,IR,32.6941,47.2679,101.62,9,0,7.67,clear sky
233,Kathmandu,NP,27.7167,85.3167,70.02,94,75,5.75,broken clouds
234,Taunggyi,MM,20.7833,97.0333,64.09,96,99,3.24,overcast clouds
235,Tomatlan,MX,19.9333,-105.25,88.65,61,100,8.19,overcast clouds
236,Ponta Delgada,PT,37.7333,-25.6667,72.32,88,75,4.61,broken clouds
237,Kaeo,NZ,-35.1,173.7833,58.32,96,86,11.59,overcast clouds
238,Port Moresby,PG,-9.4431,147.1797,75.11,91,48,5.19,scattered clouds
239,Joshimath,IN,30.5667,79.5667,72.14,93,75,0.89,broken clouds
240,Magalia,US,39.8121,-121.5783,95.41,17,0,4.0,clear sky
241,Kuzovatovo,RU,53.5468,47.6866,61.95,95,29,2.21,scattered clouds
242,Dunedin,NZ,-45.8742,170.5036,50.81,91,100,3.0,light rain
243,Hamilton,US,39.1834,-84.5333,84.99,66,75,4.61,broken clouds
244,Doha,QA,25.2867,51.5333,96.69,49,0,4.61,clear sky
245,Port Lincoln,AU,-34.7333,135.8667,52.57,63,100,8.97,overcast clouds
246,Elizabeth City,US,36.2946,-76.2511,92.05,72,0,10.36,clear sky
247,Rocha,UY,-34.4833,-54.3333,49.37,82,2,4.88,clear sky
248,Tacuarembo,UY,-31.7333,-55.9833,50.38,79,31,2.82,scattered clouds
249,Denpasar,ID,-8.65,115.2167,78.46,83,40,9.22,scattered clouds
250,Dharur,IN,18.8167,76.1167,69.71,90,100,10.8,overcast clouds
251,Havoysund,NO,70.9963,24.6622,53.83,96,96,6.87,overcast clouds
252,Malabo,GQ,3.75,8.7833,76.86,94,20,8.05,few clouds
